Age,Country,Subscription_Type,Watch_Time_Hours,Favorite_Genre,cluster
18,3,1,80.26,3,0
23,9,1,321.75,6,0
60,8,0,35.89,1,0
44,9,1,261.56,2,0
68,9,2,909.3,3,1
21,9,2,615.93,5,2
57,2,2,755.47,5,1
68,9,2,145.23,6,0
39,8,0,950.14,0,1
55,7,2,696.66,4,1
26,6,2,290.31,0,0
62,9,2,490.39,0,2
65,0,1,712.23,1,1
35,4,1,73.63,6,0
68,9,1,359.3,6,2
39,0,1,768.19,1,1
74,8,2,610.7,3,2
59,2,1,813.46,2,1
63,1,1,963.64,0,1
67,2,2,460.6,1,2
47,3,2,637.43,4,2
46,8,1,620.74,1,2
40,8,0,451.59,3,2
46,8,0,388.91,4,2
37,2,0,418.2,4,2
26,1,1,95.46,6,0
17,7,2,253.6,2,0
37,3,1,936.05,1,1
59,7,0,971.97,3,1
67,0,0,542.57,0,2
14,4,1,81.89,3,0
27,2,2,568.86,6,2
59,8,2,67.28,6,0
56,7,0,835.85,2,1
52,5,0,91.07,6,0
26,8,0,703.81,1,1
64,4,0,693.84,2,1
80,1,1,431.61,3,2
70,9,2,13.5,1,0
15,1,1,914.7,4,1
23,4,2,404.84,5,2
40,2,1,610.93,5,2
35,2,1,834.96,2,1
68,6,0,145.66,2,0
50,9,0,370.08,0,2
45,5,2,474.83,3,2
16,1,1,321.21,2,0
40,0,0,197.08,1,0
57,0,1,420.58,6,2
72,1,0,479.4,0,2
53,4,2,12.4,4,0
55,6,0,157.64,0,0
65,2,2,589.28,1,2
27,3,2,367.56,5,2
72,9,1,889.42,4,1
16,7,1,739.71,6,1
55,6,0,672.43,2,1
29,9,1,625.92,4,2
41,6,1,611.38,3,2
49,0,1,997.8,1,1
70,2,2,17.03,4,0
70,5,2,251.57,3,0
68,3,0,247.53,5,0
55,3,0,637.46,0,2
28,9,1,331.5,1,0
40,3,1,539.51,5,2
27,2,1,347.83,5,2
33,1,0,772.69,0,1
66,1,1,531.37,6,2
27,4,2,868.11,0,1
52,2,0,482.75,0,2
45,4,0,111.95,1,0
29,8,2,915.15,3,1
58,9,2,255.7,6,0
52,4,1,351.09,6,2
51,5,0,890.7,6,1
46,1,0,452.21,5,2
60,5,2,703.49,1,1
27,0,1,114.84,5,0
75,5,1,735.79,2,1
70,9,1,486.56,4,2
78,3,1,443.05,3,2
74,0,1,609.74,2,2
70,3,1,101.32,5,0
59,4,0,452.51,0,2
73,1,0,726.72,2,1
76,6,2,164.45,3,0
78,3,0,924.9,1,1
71,9,0,740.04,1,1
73,8,1,598.3,1,2
61,6,2,523.21,5,2
70,0,0,858.29,3,1
49,6,2,635.38,2,2
40,1,2,402.75,2,2
33,3,0,435.56,1,2
37,3,2,164.11,5,0
49,9,1,413.2,6,2
32,2,1,626.92,4,2
57,0,0,731.09,5,1
31,6,0,122.87,5,0
18,3,2,540.53,0,2
55,0,1,503.97,4,2
70,6,2,225.38,0,0
79,9,0,135.98,3,0
39,9,0,709.87,4,1
67,6,2,488.31,1,2
77,8,1,690.18,3,1
57,2,0,808.07,0,1
17,0,2,978.84,1,1
53,0,1,81.11,4,0
37,0,0,271.58,5,0
43,2,1,229.82,1,0
34,3,0,748.26,2,1
70,3,1,356.57,2,2
23,2,1,87.79,2,0
37,7,2,627.39,1,2
33,3,0,13.55,5,0
15,8,1,336.13,3,2
50,8,0,251.13,4,0
55,2,2,175.47,3,0
44,2,1,98.9,0,0
44,2,2,988.14,3,1
80,8,2,816.36,2,1
58,1,0,732.09,5,1
20,0,0,202.57,0,0
68,4,2,758.62,5,1
61,6,1,10.31,5,0
70,1,2,633.29,5,2
63,4,1,278.69,2,0
77,5,0,147.04,4,0
79,7,1,884.66,2,1
44,8,1,485.81,6,2
36,9,2,479.08,1,2
37,4,0,744.34,3,1
70,7,0,17.94,2,0
78,2,2,457.57,1,2
37,0,1,325.1,0,0
46,7,2,18.62,1,0
38,8,2,80.87,5,0
67,1,2,164.13,1,0
62,7,1,640.75,4,2
53,9,2,793.72,5,1
54,4,2,517.41,0,2
38,3,0,999.14,1,1
80,4,2,766.11,5,1
76,4,0,689.16,0,1
14,1,2,702.52,0,1
51,5,0,975.55,6,1
32,5,0,670.83,0,1
56,1,1,342.26,3,2
34,8,0,846.85,2,1
55,0,1,558.87,5,2
52,1,0,989.34,0,1
15,6,0,835.1,5,1
70,9,0,242.26,4,0
76,2,0,759.5,6,1
51,1,1,507.15,2,2
42,6,1,269.42,2,0
58,8,1,153.32,1,0
50,9,0,457.19,3,2
79,1,2,799.77,1,1
57,0,0,934.12,2,1
61,4,0,961.56,6,1
49,0,0,478.8,3,2
24,1,2,56.21,2,0
76,6,0,885.8,1,1
54,8,0,14.28,4,0
45,2,1,580.9,6,2
43,9,0,566.29,2,2
43,2,2,358.64,4,2
50,0,1,826.06,0,1
46,9,2,893.69,4,1
43,4,0,737.2,0,1
18,2,1,72.54,3,0
53,7,0,741.62,0,1
26,8,0,945.3,6,1
78,2,2,46.3,0,0
79,5,1,466.93,4,2
40,3,0,866.49,4,1
26,5,2,192.61,4,0
47,2,1,414.81,1,2
63,6,2,332.14,3,0
25,5,1,531.46,5,2
20,0,1,260.06,0,0
78,0,0,301.54,3,0
63,5,0,870.79,6,1
60,3,2,553.57,2,2
14,7,0,792.96,3,1
78,6,2,982.44,2,1
30,4,0,174.99,2,0
67,0,2,727.39,6,1
40,1,1,3.69,6,0
38,5,1,455.69,6,2
57,0,2,956.44,1,1
34,4,2,109.93,4,0
33,0,0,748.3,4,1
39,0,0,914.92,0,1
18,8,1,747.86,2,1
72,7,0,235.91,5,0
49,4,1,749.77,5,1
66,4,0,628.14,1,2
80,9,2,776.4,0,1
75,8,0,838.37,2,1
48,1,0,222.55,3,0
16,2,0,701.24,0,1
40,0,2,444.18,3,2
53,5,1,883.16,0,1
23,7,2,287.09,3,0
52,6,1,745.62,3,1
51,9,0,366.11,3,2
41,4,0,800.18,4,1
68,7,1,218.0,4,0
62,5,0,811.94,1,1
59,8,2,154.17,6,0
40,7,2,538.64,6,2
21,6,1,952.42,3,1
38,2,1,60.01,2,0
55,1,0,31.08,5,0
68,8,2,769.68,3,1
13,2,1,205.73,3,0
23,2,1,449.56,5,2
26,3,2,324.19,4,0
29,7,0,349.96,2,2
76,0,2,484.18,0,2
80,8,0,691.81,2,1
20,1,2,641.48,3,2
29,5,1,462.73,2,2
36,2,1,655.31,0,2
42,6,1,630.76,6,2
50,9,0,20.48,4,0
70,2,0,857.43,0,1
24,5,2,23.35,5,0
57,6,2,52.82,6,0
45,9,0,332.26,3,0
72,4,0,54.61,4,0
51,7,0,438.98,4,2
20,1,2,539.58,0,2
21,5,2,959.06,1,1
14,6,2,45.63,3,0
42,7,2,903.41,3,1
45,0,0,687.91,1,1
57,5,2,561.13,5,2
74,1,0,675.0,0,1
18,8,2,890.77,5,1
35,8,2,746.89,4,1
61,0,1,138.06,0,0
77,8,2,225.61,0,0
57,1,2,394.56,0,2
73,2,0,902.54,6,1
58,3,0,491.04,5,2
26,3,0,83.59,6,0
31,5,0,449.45,6,2
35,0,0,418.9,4,2
27,2,2,331.1,0,0
17,6,1,508.92,3,2
62,2,1,272.88,2,0
50,3,2,362.15,4,2
31,4,1,934.33,5,1
69,6,1,109.87,2,0
67,9,2,747.73,1,1
52,2,2,674.12,4,1
62,4,2,958.8,2,1
20,5,1,107.38,2,0
20,7,0,901.22,4,1
55,1,0,441.32,3,2
65,5,0,233.67,0,0
63,6,2,42.36,4,0
50,0,1,220.24,2,0
49,6,1,756.54,2,1
19,0,2,308.63,6,0
60,5,1,165.43,0,0
21,6,1,710.05,6,1
68,1,0,875.2,1,1
15,7,1,151.14,2,0
57,1,1,426.41,5,2
75,8,2,390.05,3,2
20,4,1,599.78,2,2
37,8,1,700.62,2,1
24,0,0,520.73,3,2
43,9,1,8.58,2,0
16,8,0,596.5,4,2
56,9,2,639.06,1,2
23,0,1,133.63,1,0
61,8,2,557.79,1,2
45,0,1,387.32,5,2
18,7,0,712.33,3,1
24,4,2,168.27,6,0
45,4,2,996.64,6,1
48,8,0,68.93,5,0
43,3,2,903.68,3,1
59,4,2,44.63,6,0
25,0,2,264.82,6,0
75,1,1,490.78,6,2
40,1,0,496.6,2,2
21,9,2,887.22,4,1
40,9,1,747.98,1,1
24,5,2,374.22,5,2
52,0,2,291.13,4,0
54,7,2,342.12,5,2
35,5,1,377.51,5,2
37,2,2,500.89,0,2
41,0,0,615.23,3,2
45,0,1,592.32,0,2
36,2,1,541.9,4,2
35,5,0,793.71,1,1
59,2,1,263.71,6,0
22,6,2,797.93,3,1
32,1,0,32.21,0,0
40,2,0,699.95,6,1
15,8,0,377.09,1,2
58,2,1,364.05,6,2
13,8,0,723.87,6,1
63,0,1,840.92,5,1
60,2,0,479.0,6,2
35,1,0,843.53,5,1
17,3,2,214.9,0,0
46,7,0,780.43,3,1
64,9,0,998.4,1,1
28,4,2,315.45,6,0
55,5,0,349.26,1,2
47,4,2,176.79,1,0
17,1,0,7.28,5,0
62,0,0,319.23,6,0
58,2,0,337.72,0,2
78,8,2,626.01,6,2
26,9,2,112.89,5,0
67,7,2,381.55,1,2
59,2,2,120.57,1,0
71,8,0,468.16,4,2
37,9,2,749.93,5,1
73,0,0,223.84,0,0
39,9,1,48.85,2,0
65,9,0,251.81,2,0
61,6,0,162.42,3,0
74,2,1,490.43,3,2
14,7,0,207.47,2,0
25,9,2,153.17,0,0
46,7,1,897.25,2,1
17,4,2,613.95,1,2
33,1,1,671.95,2,1
40,2,0,818.51,6,1
24,9,1,468.27,4,2
47,0,2,861.25,6,1
53,5,1,963.18,1,1
64,0,0,449.58,2,2
71,0,0,619.84,0,2
34,7,0,269.72,2,0
49,0,0,970.76,5,1
22,2,0,597.58,3,2
65,6,0,708.15,5,1
61,3,0,474.49,0,2
20,5,1,648.5,0,2
74,7,0,535.32,5,2
78,8,2,910.2,3,1
35,6,1,532.11,1,2
72,3,2,0.22,1,0
26,9,0,346.62,0,2
22,1,1,119.6,2,0
50,5,0,950.44,0,1
52,6,2,869.3,6,1
50,8,1,543.09,2,2
14,1,1,320.11,0,0
37,5,1,939.67,2,1
16,9,0,582.57,5,2
55,6,2,259.84,0,0
32,0,1,133.72,2,0
52,7,0,776.96,0,1
25,9,0,131.49,2,0
65,5,0,706.12,5,1
23,2,2,915.1,6,1
48,0,0,241.08,6,0
44,9,1,12.43,0,0
48,0,0,415.76,6,2
71,2,0,26.48,1,0
41,4,0,617.65,2,2
36,2,2,801.94,4,1
27,0,0,1.33,3,0
26,5,0,451.46,0,2
28,5,1,25.86,1,0
54,1,1,659.95,1,2
62,0,0,696.69,2,1
70,2,0,175.47,1,0
25,7,1,961.36,5,1
46,4,0,897.39,1,1
74,6,1,991.1,5,1
31,5,0,332.51,5,0
40,9,1,202.44,0,0
50,3,2,500.36,4,2
57,3,2,910.14,4,1
77,9,2,897.85,3,1
50,6,1,402.75,4,2
43,6,0,570.27,2,2
38,0,0,437.14,5,2
23,4,2,335.11,2,2
73,7,0,186.39,4,0
58,1,1,957.43,5,1
28,7,1,463.06,3,2
75,6,1,6.07,6,0
70,1,0,99.63,6,0
29,3,1,30.07,6,0
64,7,1,404.19,4,2
56,2,0,234.17,3,0
45,2,1,501.94,1,2
31,0,2,214.05,4,0
45,2,2,938.84,4,1
61,3,1,670.45,5,1
61,1,2,403.41,2,2
37,9,1,876.06,4,1
49,8,1,601.25,3,2
49,0,1,317.94,6,0
56,2,1,410.65,0,2
55,6,2,934.73,2,1
34,9,0,719.62,4,1
58,2,0,90.56,1,0
35,5,1,154.46,6,0
35,3,2,130.55,5,0
31,7,2,625.88,5,2
66,7,2,577.39,5,2
78,2,1,414.82,1,2
33,4,0,368.98,1,2
42,2,2,43.63,2,0
52,5,2,100.6,5,0
67,1,1,304.44,6,0
13,3,2,389.26,6,2
52,7,0,244.03,0,0
62,2,0,360.95,5,2
61,7,1,420.02,5,2
32,0,1,111.62,6,0
40,9,1,456.17,2,2
61,4,0,289.08,1,0
39,7,2,15.85,4,0
20,5,1,744.85,2,1
74,4,0,97.11,0,0
15,0,1,44.22,4,0
58,9,1,819.4,3,1
80,4,1,858.94,6,1
21,6,2,891.2,3,1
80,1,0,533.67,5,2
13,3,2,735.23,2,1
77,9,1,594.64,1,2
54,4,1,318.05,6,0
52,2,1,113.71,4,0
58,0,1,520.53,6,2
20,6,2,414.2,6,2
52,0,2,58.52,6,0
69,6,2,26.4,2,0
73,5,1,159.9,1,0
38,8,2,207.95,4,0
34,2,1,388.56,2,2
68,1,1,946.76,2,1
70,9,2,748.33,0,1
67,1,1,768.38,1,1
70,9,2,292.98,0,0
46,1,1,809.45,6,1
35,7,2,680.82,6,1
40,7,2,234.39,6,0
66,1,2,988.07,1,1
62,6,1,823.18,5,1
17,7,0,385.26,3,2
43,4,0,237.81,2,0
58,9,0,263.72,6,0
21,6,1,344.23,3,2
37,4,2,551.87,0,2
44,2,0,485.07,5,2
62,3,1,170.81,1,0
71,5,2,649.62,6,2
18,6,2,518.56,2,2
64,7,2,72.86,2,0
31,7,1,627.98,6,2
49,2,1,719.6,0,1
20,9,1,25.82,5,0
49,0,2,532.75,5,2
32,6,1,169.91,2,0
61,8,1,654.79,3,2
58,2,1,450.09,1,2
46,0,2,973.64,2,1
40,4,2,338.57,4,2
18,3,1,980.58,3,1
29,5,2,61.21,6,0
41,9,2,597.39,5,2
29,3,1,343.08,3,2
62,0,1,88.54,2,0
42,3,1,4.21,2,0
64,1,2,860.4,2,1
44,3,2,257.81,4,0
17,9,0,390.03,0,2
34,8,2,92.52,2,0
52,9,0,419.25,0,2
23,1,2,150.4,5,0
52,1,0,59.19,1,0
60,0,2,832.05,1,1
67,7,0,365.32,5,2
38,3,1,140.94,4,0
48,4,2,789.33,4,1
23,7,0,76.24,6,0
23,1,1,288.9,4,0
73,5,0,758.08,5,1
21,0,0,193.96,4,0
61,2,2,524.52,2,2
55,0,0,951.33,6,1
46,8,0,762.24,6,1
19,9,2,508.07,3,2
53,0,1,694.5,3,1
30,3,0,988.68,5,1
42,3,2,60.56,6,0
63,7,1,840.99,2,1
44,7,1,347.62,5,2
38,4,1,932.36,6,1
57,1,1,452.42,4,2
36,8,2,360.34,5,2
73,7,0,346.65,4,2
76,8,0,96.44,1,0
54,5,0,858.38,2,1
16,2,2,886.36,2,1
51,0,1,452.78,3,2
49,2,0,929.52,5,1
71,5,1,139.99,1,0
28,5,2,779.86,2,1
29,1,1,535.51,1,2
58,5,0,922.38,5,1
66,0,2,580.81,2,2
62,7,1,614.42,0,2
58,6,0,394.65,6,2
53,0,2,661.25,4,2
71,0,1,969.81,0,1
45,4,2,756.39,0,1
74,9,0,255.3,0,0
43,7,0,89.77,1,0
14,5,0,255.98,6,0
48,6,1,336.22,0,2
56,4,1,259.05,3,0
13,9,0,147.52,3,0
76,0,0,209.94,3,0
77,5,1,964.36,0,1
76,5,0,363.18,3,2
47,4,1,612.78,5,2
62,4,2,521.11,0,2
15,6,2,607.53,0,2
78,5,0,555.5,5,2
24,3,0,747.5,6,1
59,0,1,112.35,6,0
76,3,2,250.61,0,0
56,6,1,944.15,1,1
23,8,2,103.51,1,0
67,6,2,818.91,1,1
35,2,1,368.65,5,2
56,0,0,906.63,3,1
27,8,1,456.53,4,2
74,0,0,669.42,5,1
64,1,2,123.95,3,0
28,8,0,299.91,4,0
39,5,1,277.81,2,0
27,8,0,914.31,3,1
60,7,1,140.72,1,0
80,6,1,166.06,4,0
62,0,1,327.86,0,0
24,1,0,898.33,2,1
69,3,1,24.38,1,0
20,6,0,565.27,1,2
16,9,1,526.05,1,2
56,6,0,822.01,2,1
25,1,2,41.21,5,0
15,4,0,742.85,6,1
35,0,2,546.93,1,2
51,7,0,970.57,1,1
73,6,0,470.34,3,2
41,4,1,62.4,2,0
49,0,0,378.29,0,2
74,2,1,709.49,6,1
71,2,1,8.37,6,0
38,1,2,661.78,3,2
48,8,2,60.61,4,0
25,5,0,198.65,6,0
59,6,2,457.45,3,2
62,8,2,957.87,2,1
44,8,2,109.89,6,0
73,0,0,59.84,0,0
43,8,0,759.91,0,1
69,1,1,563.86,5,2
42,6,2,482.71,3,2
68,9,2,279.41,5,0
60,2,0,605.99,3,2
52,9,1,21.62,0,0
30,1,0,996.55,1,1
